timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
9119412779,-0.018389355,-0.008537188,0.006403019
9119431569,-0.018237919,-0.007547829,0.006403019
9119451368,-0.018016528,-0.007547829,0.006403019
9119471776,-0.018016528,-0.0054060146,0.006403019
9119490638,-0.01760007,-0.0032659797,0.006403019
9119512076,-0.017812215,-0.00075888494,0.006403019
9119531470,-0.017812215,0.0018139058,0.006403019
9119552470,-0.017812215,0.0018139058,0.006403019
9119571271,-0.017812215,0.0018139058,0.006403019
9119591399,-0.017812215,0.0018139058,0.006403019
9119612406,-0.018259648,0.0048189373,0.006403019
9119631319,-0.018905183,0.0067724423,0.006403019
9119652225,-0.019869369,0.008762309,0.006403019
9119672198,-0.019869369,0.008762309,0.006403019
9119693121,-0.019869369,0.009792039,0.006403019
9119712202,-0.02063376,0.010910292,0.006403019
9119732242,-0.02149163,0.011247917,0.006403019
9119751591,-0.021634545,0.011010272,0.0064084665
9119772088,-0.02123942,0.010227809,0.006130052
9119791994,-0.02123942,0.010227809,0.005598026
9119812030,-0.02074183,0.010227809,0.0051957048
9119831787,-0.020106535,0.00853229,0.0051466594
9119851962,-0.020106535,0.00853229,0.0051067867
9119872797,-0.020106535,0.00853229,0.004940214
9119891752,-0.020106535,0.00853229,0.004991889
9119911605,-0.020106535,0.00853229,0.004991889
9119932532,-0.020106535,0.00853229,0.004991889
9119951636,-0.020106535,0.00853229,0.004991889
9119972590,-0.019023126,0.006717835,0.004991889
9119992510,-0.019023126,0.0048121777,0.004991889
9120013555,-0.019023126,0.0048121777,0.004991889
9120032210,-0.019023126,0.0048121777,0.004991889
9120052164,-0.019023126,0.0011895348,0.004991889
9120072423,-0.019023126,0.0011895348,0.004991889
9120092361,-0.019023126,0.0011895348,0.004991889
9120112371,-0.019023126,0.0011895348,0.004991889
9120132170,-0.019023126,0.0011895348,0.004991889
9120153124,-0.019023126,0.0011895348,0.004991889
9120172654,-0.019023126,0.0011895348,0.0049699293
9120193699,-0.019023126,0.0011895348,0.004895484
9120212644,-0.019023126,0.0011895348,0.004870608
9120232458,-0.019023126,-0.0005955701,0.004844059
9120253366,-0.01819319,-0.0041814996,0.0051807826
9120272588,-0.01819319,-0.005830896,0.0051484276
9120292504,-0.01738073,-0.008573206,0.0049446276
9120312447,-0.015944779,-0.010807409,0.004838828
9120334598,-0.014978978,-0.012201494,0.004819808
9120352546,-0.014735075,-0.012681842,0.004851061
9120373615,-0.014930998,-0.012326292,0.004788691
9120392413,-0.015169848,-0.011802292,0.0047520874
9120412509,-0.015601943,-0.0109945955,0.004720025
9120433549,-0.01588622,-0.0105551705,0.004777038
9120452744,-0.016473424,-0.009378989,0.004712921
9120472756,-0.016473424,-0.007254106,0.0043490273
9120493605,-0.016473424,-0.007254106,0.0043490273
9120514117,-0.016473424,-0.0040442515,0.0043490273
9120533500,-0.016473424,-0.0040442515,0.0043490273
9120553398,-0.017112901,-0.0013209694,0.004299133
9120573286,-0.017112901,0.0012950018,0.00432277
9120593159,-0.017666392,0.003979697,0.0044496567
9120613113,-0.017666392,0.003979697,0.0045519215
9120632793,-0.017666392,0.003979697,0.004591502
9120653748,-0.017666392,0.003979697,0.004591502
9120673580,-0.017666392,0.003979697,0.004591502
9120694385,-0.017666392,0.007489491,0.0047927327
9120713580,-0.017666392,0.007489491,0.0047927327
9120733502,-0.017666392,0.007489491,0.0047927327
9120753299,-0.017666392,0.007489491,0.0047927327
9120773225,-0.017666392,0.007489491,0.0047927327
9120794271,-0.017666392,0.010995497,0.0047927327
9120813146,-0.017666392,0.010995497,0.0047927327
9120835122,-0.017666392,0.010995497,0.0047927327
9120853021,-0.017666392,0.012363328,0.0047927327
9120873993,-0.017666392,0.014592382,0.0051074657
9120893952,-0.019765966,0.016099364,0.00522718
9120913126,-0.019765966,0.017708655,0.005516883
9120934094,-0.02038223,0.019000784,0.0058892067
9120954165,-0.021639675,0.019509649,0.005882134
