timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
9125588458,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1125.0,1107.0,1040.0,1130.0,1000.0,1000.0,1000.0,1000.0
9125688505,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1049.0,1140.0,1165.0,1043.0,1000.0,1000.0,1000.0,1000.0
9125788447,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1064.0,1040.0,1178.0,1115.0,1000.0,1000.0,1000.0,1000.0
9125888453,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1065.0,1112.0,1179.0,1040.0,1000.0,1000.0,1000.0,1000.0
9125988453,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1052.0,1040.0,1167.0,1137.0,1000.0,1000.0,1000.0,1000.0
9126088457,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1082.0,1073.0,1152.0,1095.0,1000.0,1000.0,1000.0,1000.0
9126188455,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1150.0,1157.0,1048.0,1000.0,1000.0,1000.0,1000.0
9126288453,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1096.0,1149.0,1092.0,1065.0,1000.0,1000.0,1000.0,1000.0
9126388459,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1081.0,1174.0,1084.0,1060.0,1000.0,1000.0,1000.0,1000.0
9126488461,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1117.0,1165.0,1067.0,1049.0,1000.0,1000.0,1000.0,1000.0
9126588503,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1156.0,1158.0,1040.0,1041.0,1000.0,1000.0,1000.0,1000.0
