timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
9131382884,9131380665,0.30365053,-0.42977136,-9.492588
9131393276,9131388566,0.36416966,-0.43895206,-9.745356
9131399465,9131397642,0.4327895,-0.3576485,-9.974359
9131405830,9131405110,0.46703243,-0.2254712,-10.171557
9131413519,9131412602,0.47421956,-0.13796592,-10.327067
9131423117,9131420387,0.47708297,-0.14195356,-10.382561
9131433519,9131427668,0.4215207,-0.15717039,-10.321195
9131436688,9131435904,0.28071234,-0.15158944,-10.224099
9131445276,9131444525,0.1440811,-0.17582077,-10.184483
9131453732,9131452779,0.12747563,-0.17323573,-10.244963
9131463101,9131459047,0.24636674,-0.07124855,-10.369295
9131469288,9131468153,0.364022,0.09600136,-10.487421
9131475647,9131474929,0.3674831,0.23475376,-10.560278
9131484106,9131483131,0.29192644,0.2541393,-10.615542
9131493429,9131490505,0.23123688,0.18360743,-10.689239
9131503782,9131498168,0.23561251,0.15568234,-10.740574
9131508248,9131507204,0.27532083,0.19239375,-10.706011
9131515795,9131514835,0.26685685,0.17494254,-10.554268
9131524385,9131522526,0.16769207,0.005344726,-10.313017
9131533951,9131529505,0.014677592,-0.28146777,-10.039026
9131539116,9131537953,-0.14380805,-0.5864545,-9.773933
9131546446,9131545714,-0.30075744,-0.880651,-9.565129
9131554819,9131554098,-0.4487056,-1.1764787,-9.433346
9131563166,9131560655,-0.53306913,-1.4389043,-9.355216
9131573601,9131568485,-0.54859775,-1.5781907,-9.27846
9131578785,9131577658,-0.52257216,-1.5802542,-9.178425
9131585135,9131584420,-0.45279527,-1.5355223,-9.126002
9131594557,9131593838,-0.36329916,-1.5016153,-9.155979
9131602906,9131600191,-0.26437864,-1.4632835,-9.210761
9131613483,9131607630,-0.1888578,-1.3584473,-9.234619
9131616664,9131615916,-0.1880553,-1.2162368,-9.2184515
9131625016,9131624296,-0.24239905,-1.1583962,-9.181753
9131633436,9131630913,-0.31373405,-1.1542674,-9.149072
9131643848,9131638727,-0.3224519,-1.0593396,-9.18088
9131649077,9131647246,-0.18543115,-0.8379612,-9.319904
9131656440,9131655717,0.031562537,-0.57137686,-9.531637
9131663830,9131663096,0.21337359,-0.3132499,-9.775402
9131673220,9131670492,0.36251432,-0.03657092,-10.070396
9131683655,9131678042,0.58198154,0.2862324,-10.414501
9131686977,9131686236,0.90771383,0.66156197,-10.737706
9131694731,9131694000,1.195433,1.0364833,-10.942713
9131703465,9131701446,1.2919557,1.2891397,-10.954202
9131713912,9131709201,1.1937884,1.3363773,-10.78928
9131720155,9131719023,0.96849996,1.1746143,-10.536017
9131726928,9131726189,0.65358716,0.8434923,-10.26459
9131734781,9131733864,0.26329327,0.3984707,-10.015045
9131743201,9131740479,-0.1855548,-0.10954685,-9.798014
9131753601,9131748484,-0.66385734,-0.6835534,-9.612051
9131757769,9131757047,-1.1077725,-1.3130144,-9.46714
9131765171,9131764437,-1.3808861,-1.8352559,-9.391126
