timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
9145888349,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9146393883,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9146900188,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9147405402,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9147911357,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9148416889,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9148923076,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9149428791,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9149934834,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9150440190,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9150946296,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9151451544,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9151957023,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9152461784,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9152969006,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9153473905,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9153980079,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9154484992,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9154991814,9106880203,9137759753,9100425471,2147411327,8308095,0,2,3,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9155042517,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9155550370,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9156055924,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9156562071,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9157067386,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9157573201,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9158077975,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9158584422,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9159089813,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9159595186,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9160101275,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9160607938,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9161113194,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
9161619888,0,0,9100425471,2147411327,8308095,0,1,3,3,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
